subtype	gisaid_epi_isl	gisaid_strain	originating_lab	submitting_lab
h1n1pdm	EPI_ISL_19863658	A/Ghana/FS-25-1536/2025	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19855840	A/Saint-Petersburg/RII-MH232458S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19855829	A/Malaya Vishera/RII-MH232005S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19855261	A/TOKYO/EIS11-688/2025	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19855239	A/Mato Grosso do Sul/795/2025	LACEN/MS Laboratório Central de Saúde Pública de Mato Grosso do Sul	Fundação Oswaldo Cruz (Fiocruz)
h1n1pdm	EPI_ISL_19856559	A/Canberra/667/2024	Canberra Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19828528	A/Wisconsin/NIRC-IS-1179/2025	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19829746	A/Queensland/IN001090/2025	QLD, Sullivan Nicolaides Pathology	Public and Environmental Health Reference Laboratories (PEHRL)
h1n1pdm	EPI_ISL_19832866	A/Michigan/UM-10062271824/2025	University of Michigan, Lauring Lab, Department of Microbiology and Immunology	
h1n1pdm	EPI_ISL_19834944	A/Alaska/15750/2025	U.S. Air Force School of Aerospace Medicine	U.S. Air Force School of Aerospace Medicine
h1n1pdm	EPI_ISL_19837413	A/Vi?a del Mar/9736/2025	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
h1n1pdm	EPI_ISL_19844114	A/TOKYO/EIS11-600/2025	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19844021	A/Victoria/229/2025	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19843962	A/Darwin/358/2025	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19849186	A/Yekaterinburg/07/2025	"FBUZ ""Center of hygiene and epidemiology"" in Sverdlovsk oblast"	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19847580	A/Surat Thani/F1191/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_19847574	A/Chiang Rai/F1106/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_19844635	A/Para/011861-IEC/2025	Evandro Chagas Institute	Evandro Chagas Institute
h1n1pdm	EPI_ISL_19817344	A/Para/010206-IEC/2025	Evandro Chagas Institute	Evandro Chagas Institute
h1n1pdm	EPI_ISL_19817320	A/Pernambuco/009902-IEC/2025	Evandro Chagas Institute	Evandro Chagas Institute
h1n1pdm	EPI_ISL_19817057	A/Tunisia/945/2025	National Influenza Centre-Tunis, Unit Virology, Microbiology Laboratory, Charles Nicolle's Hospital	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_19852889	A/Bangkok/P740/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_19821043	A/NAGANO-C/16/2025	Nagano City Health Center	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19854778	A/California/NIRC-IS-1059/2025	California Department of Health Services	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19824050	A/Ghana/FS-25-1021/2025	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19823956	A/Ghana/FS-25-0964/2025	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19823750	A/Ghana/FS-25-0868/2025	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19824151	A/Santa Catarina/727/2025	LACEN/SC	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
h1n1pdm	EPI_ISL_19824162	A/Espirito Santo/675/2025	LACEN/ES - Laboratório Central de Saúde Pública do Espírito Santo	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
h1n1pdm	EPI_ISL_19794579	A/Gyeonggi/422/2025	Korea Disease Control and Prevention Agency (KDCA)	Korea Disease Control and Prevention Agency (KDCA)
h1n1pdm	EPI_ISL_19794574	A/Jeju/412/2025	Korea Disease Control and Prevention Agency (KDCA)	Korea Disease Control and Prevention Agency (KDCA)
h1n1pdm	EPI_ISL_19762377	A/Ghana/FS-25-0125/2024	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19762375	A/Ghana/FS-25-0040/2024	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19762352	A/Ghana/FS-25-0018/2024	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19762349	A/Ghana/ARI-24-1972/2024	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19764242	A/Taiwan/S25704/2024	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control
h1n1pdm	EPI_ISL_19764183	A/Taiwan/C21469/2024	Taiwan Centers for Disease Control	Taiwan Centers for Disease Control
h1n1pdm	EPI_ISL_19799355	A/Malaysia/MKAI_CL16977/2025	Klinik Kesihatan Jelapang	Public Health Laboratory Ipoh
h1n1pdm	EPI_ISL_19800447	A/Malaysia/MKAI_CL54134/2024	Klinik Kesihatan Lintang,  ,	Public Health Laboratory Ipoh
h1n1pdm	EPI_ISL_19799497	A/Hong Kong/GIHSN-HKU-250324-005/2025	The University of Hong Kong	The University of Hong Kong
h1n1pdm	EPI_ISL_19767479	A/Togo/1429/2024	Institute National D'Hygiene	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_19767461	A/Morocco/578/2024	Institut National d'Hygiène	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_19767457	A/Morocco/450/2024	Institut National d'Hygiène	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_19767410	A/South Carolina/15386/2025	U.S. Air Force School of Aerospace Medicine	U.S. Air Force School of Aerospace Medicine
h1n1pdm	EPI_ISL_19802842	A/Chungnam/622/2025	Korea Disease Control and Prevention Agency (KDCA)	Korea Disease Control and Prevention Agency (KDCA)
h1n1pdm	EPI_ISL_19802824	A/Incheon/614/2025	Korea Disease Control and Prevention Agency (KDCA)	Korea Disease Control and Prevention Agency (KDCA)
h1n1pdm	EPI_ISL_19802777	A/TOKYO/EIS11-400/2025	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19802754	A/TOKYO/EIS11-340/2024	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19805012	A/India/JAI-NIV24_3100/2024	National Institute of Virology	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19806108	A/Bangkok/P394/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_19806025	A/Phra Nakhon Si Ayutthaya/F891/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_19805892	A/SWITZERLAND/UN-SNRCI-HUG-47236068/2025	Swiss National Reference Centre for Influenza	University of Geneva
h1n1pdm	EPI_ISL_19805192	A/Guam/5828/2025	Guam Department of Public Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19774249	A/Cameroon/11991/2024	Centre Pasteur du Cameroun	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_19773895	A/Indonesia/BIOKES-IBPP730/2024	Balai Besar Laboratorium Biologi Kesehatan	Balai Besar Laboratorium Biologi Kesehatan
h1n1pdm	EPI_ISL_19810257	A/GIFU/250/2024	Gifu Prefectural Institute of Health and Environmental Sciences	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19778371	A/TOKYO/EIS11-291/2024	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19811853	A/Ulaanbaatar/3824/2024	National Center for Communicable Diseases	National Center for Communicable Diseases
h1n1pdm	EPI_ISL_19779369	A/France/ARA-HCL025033117701/2025	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires, France SUD
h1n1pdm	EPI_ISL_19778285	A/Malaysia/IMR-SARI0517/2025	Hospital Wanita Dan Kanak-Kanak Sabah	Institute for Medical Research
h1n1pdm	EPI_ISL_19778234	A/Sri Lanka/12/2025	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19778232	A/Sri Lanka/116/2024	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19780472	A/Uganda/UVRI_KBK3583_2024	Koboko Hospital	Uganda Virus Research Institute (NIC)
h1n1pdm	EPI_ISL_19780467	A/Uganda/UVRI_FTL2665_2024	FortPortal Regional Referral Hospital	Uganda Virus Research Institute (NIC)
h1n1pdm	EPI_ISL_19814755	A/Oman/CPHL_725753/2025	Central Public Health Laboratories Oman	Ministry of Health, Central Public Health Laboratory
h1n1pdm	EPI_ISL_19813001	A/Victoria/239/2025	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19780795	A/Vietnam/PF124503/2025	Bach Mai Hospital	Bach Mai Hospital
h1n1pdm	EPI_ISL_19782941	A/French Guiana/070/2025	Centre Hospitalier de l'Ouest Guyanais	Institut Pasteur de la Guyane
h1n1pdm	EPI_ISL_19787754	A/Parana/456/2025	Laboratório Central do Estado do Paraná - LACEN/PR	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
h1n1pdm	EPI_ISL_19786877	A/Sao Paulo/14183/2024	University of São Paulo	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
h1n1pdm	EPI_ISL_19791082	A/Colorado/ISC-1278/2025	Colorado Department of Health Lab	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19791544	A/Bangkok/P329/2025	Thai National Influenza Center	Thai National Influenza Center
h1n1pdm	EPI_ISL_19791499	A/Catalonia/NSVC770322442/2025	Hospital Verge de la Cinta	Hospital Universitari Vall d'Hebron
h1n1pdm	EPI_ISL_19759090	A/Sydney/1356/2024	WHO Collaborating Centre for Reference and Research on Influenza	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19726973	A/Maldives/2200/2024	Ministry of Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19726969	A/Maldives/2395/2024	Ministry of Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19726959	A/Maldives/2215/2024	Ministry of Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19726949	A/Maldives/2271/2024	Ministry of Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19726943	A/Maldives/2357/2024	Ministry of Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19726827	A/Colorado/260/2024	Colorado Department of Health Lab	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19726706	A/Saskatchewan/SKFLU414016/2025	Roy Romanow Provincial Laboratory	Roy Romanow Provincial Laboratory
h1n1pdm	EPI_ISL_19726625	A/Ghana/6341/2024	Noguchi Memorial Institute for Medical Research (NMIMR)	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19731827	A/France/HDF-RELAB-IPP01311/2025	Institut Pasteur	Institut Pasteur Paris
h1n1pdm	EPI_ISL_19729352	A/Galicia/SCQ/117006/2025	COMPLEXO UNIVERSITARIO DE SANTIAGO DE COMPOSTELA (CHUS)	Health Research Institute of Santiago de Compostela (IDIS)
h1n1pdm	EPI_ISL_19731473	A/Queensland/IN000896/2024	Mater Pathology	Public and Environmental Health Reference Laboratories (PEHRL)
h1n1pdm	EPI_ISL_19734827	A/Canada/ABPHL-1540/2024	Alberta Precision Laboratories, Provincial Laboratory for Public Health	Public Health Agency of Canada (PHAC)
h1n1pdm	EPI_ISL_19734746	A/Canada/ABPHL-1465/2024	Alberta Precision Laboratories, Provincial Laboratory for Public Health	Public Health Agency of Canada (PHAC)
h1n1pdm	EPI_ISL_19734737	A/Canada/ABPHL-1456/2024	Alberta Precision Laboratories, Provincial Laboratory for Public Health	Public Health Agency of Canada (PHAC)
h1n1pdm	EPI_ISL_19734674	A/Canada/ABPHL-1392/2024	Alberta Precision Laboratories, Provincial Laboratory for Public Health	Public Health Agency of Canada (PHAC)
h1n1pdm	EPI_ISL_19734644	A/Canada/ABPHL-1362/2024	Alberta Precision Laboratories, Provincial Laboratory for Public Health	Public Health Agency of Canada (PHAC)
h1n1pdm	EPI_ISL_19742178	A/MINAS GERAIS/CEVI_24002314/2024	Instituto Butantan	Instituto Butantan
h1n1pdm	EPI_ISL_19742139	A/MINAS GERAIS/CEVI_24002141/2024	Instituto Butantan	Instituto Butantan
h1n1pdm	EPI_ISL_19742135	A/MINAS GERAIS/CEVI_24002137/2024	Instituto Butantan	Instituto Butantan
h1n1pdm	EPI_ISL_19741754	A/Sri Lanka/11/2025	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19709470	A/Madrid/2430/2024	Servicio de Microbiología Hospital Universitario La Paz	Instituto de Salud Carlos III
h1n1pdm	EPI_ISL_19709430	A/North America/Canada/New Brunswick/NBPHLFLU06K-MM00010R-r1/2024	Hôpital Georges L. Dumont	Hôpital Georges L.Dumont
h1n1pdm	EPI_ISL_19709181	A/ABUDHABI/UAE/0015664/2024	Reference Laboratory for Infectious Disease (Surveillance Lab)	Sheikh Khalifa Medical City (SKMC)
h1n1pdm	EPI_ISL_19709177	A/ABUDHABI/UAE/0015586/2024	Reference Laboratory for Infectious Disease (Surveillance Lab)	Sheikh Khalifa Medical City (SKMC)
h1n1pdm	EPI_ISL_19711416	A/Darwin/1754/2024	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19711361	A/Darwin/1625/2024	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19711994	A/KANAGAWA/AC2406/2024	National Institute of Infectious Diseases (NIID)	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19711761	A/UTSUNOMIYA/56/2024	Utsunomiya City Institute of Public Health and Environment Science	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19711756	A/WAKAYAMA/30/2024	Wakayama Prefectural Research Center of Environment and Public Health	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19711569	A/Victoria/3584/2024	Monash Medical Centre	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19711524	A/Sri Lanka/9/2025	Medical Research Institute	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19712005	A/OSAKA/48/2024	Osaka Prefectural Institute of Public Health	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19746063	A/Florida/13/2025	Florida Department of Health-Tampa	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19745999	A/Guam/5620/2025	Guam Department of Public Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19715019	A/Singapore/NUH1243/2024	Ministry of Health, Singapore	Ministry of Health, Singapore
h1n1pdm	EPI_ISL_19715015	A/Singapore/GP17458/2024	Ministry of Health, Singapore	Ministry of Health, Singapore
h1n1pdm	EPI_ISL_19714968	A/Singapore/GP14982/2024	Ministry of Health, Singapore	Ministry of Health, Singapore
h1n1pdm	EPI_ISL_19714831	A/Tasmania/868/2024	Hobart Pathology	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19751135	A/Tashkent/NRL-3824/2024	CHILDREN`S CLINICAL HOSPITAL № 1 OF TASHKENT CITY	Committee Sanitary Epidemiological Walfare and Public Health
h1n1pdm	EPI_ISL_19750450	A/Algeria/16823/2024	Institut Pasteur d'Algerie	Institut Pasteur d'Algérie
h1n1pdm	EPI_ISL_19751973	A/France/BRE-IPP02020/2025	Institut Pasteur	Institut Pasteur
h1n1pdm	EPI_ISL_19718751	A/Hunan-Louxin/SWL144/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19718744	A/Hainan-Danzhou/SWL134/2025	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19753415	A/South Australia/2436513024/2024	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_19753322	A/South Australia/2500407253/2025	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_19753574	A/Western Australia/2435412941/2024	SA Pathology	SA Pathology Laboratory
h1n1pdm	EPI_ISL_19756920	A/YOKOSUKA/5/2024	Yokosuka Institute of Public Health	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19724060	A/Wisconsin/NIRC-IS-1084/2024	Wisconsin State Laboratory of Hygiene	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19723395	A/Israel/R18227/2024	Central Virology Laboratory Israel (NIC)	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_19724441	A/Massachusetts/ISC-1239/2025	Massachusetts Department of Public Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19724421	A/Texas/ISC-1180/2025	Texas Department of State Health Services-Laboratory Services	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19628333	A/Massachusetts/77/2024	Massachusetts Department of Public Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19694920	A/Pakistan/NIC/ICT/300/2025	National Institute of Health	National Institute of Health Pakistan
h1n1pdm	EPI_ISL_19697518	A/Saint-Petersburg/RII-MH224334S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19631367	A/Oman/CPHL_52432986/2024	Central Public Health Laboratories Oman	Central Public Health Laboratories Oman
h1n1pdm	EPI_ISL_19697502	A/Saint-Petersburg/RII-MH224576S/2025	Research Institute of Influenza, Ministry of Healthcare of the Russian Federation	WHO National Influenza Centre Russian Federation
h1n1pdm	EPI_ISL_19664852	A/Queensland/IN000754/2024	QLD, Sullivan Nicolaides Pathology	Public and Environmental Health Reference Laboratories (PEHRL)
h1n1pdm	EPI_ISL_19664822	A/Queensland/IN000802/2024	Pathology Queensland	Public and Environmental Health Reference Laboratories (PEHRL)
h1n1pdm	EPI_ISL_19664753	A/Malaysia/IMR-SARI3104/2024	Hospital Sultanah Aminah	Institute for Medical Research
h1n1pdm	EPI_ISL_19599421	A/Zhejiang-Tongxiang/SWL2998/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19599420	A/Zhejiang-Kecheng/SWL1834/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19599417	A/Zhejiang-Haining/SWL2734/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19599363	A/Liaoning-Huanggu/SWL11171/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19599361	A/Guangdong-Huicheng/SWL1883/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19633751	A/NAGANO/2386/2024	Nagano Environmental Conservasion Research Institute	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19633750	A/MIYAZAKI/28/2024	Miyazaki Prefectural Institute for Public Health and Environment	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19667951	A/Bangladesh/1241003010/2024	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19667949	A/Bangladesh/8023/2024	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19700774	A/Victoria/13/2025	Royal Chidrens Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19668124	A/Philippines/1792/2024	Research Institute for Tropical Medicine, Virology Department	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19668090	A/Bangladesh/3144/2024	Institute of Epidemiology Disease Control and Research (IEDCR) & Bangladesh National Influenza Centre (NIC)	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19668029	A/New York/214/2024	New York State Department of Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19667987	A/Bangladesh/0016/2024	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19667973	A/Bangladesh/3005/2024	icddr,b International Centre for Diarrhoeal Disease Research, Bangladesh	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19667553	A/England/5120974/2024	UK Health Security Agency - Colindale	UKHSA / Respiratory Virus Unit
h1n1pdm	EPI_ISL_19668600	A/Philippines/2532/2024	Research Institute for Tropical Medicine, Virology Department	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19603123	A/Talca/71491/2024	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
h1n1pdm	EPI_ISL_19603119	A/Linares/69192/2024	Instituto de Salud Publica de Chile	Instituto de Salud Pública de Chile
h1n1pdm	EPI_ISL_19602988	A/Ufa/CRIE/53/2024	Center of Hygiene and Epidemiology in Republic of Bashkortostan	Central Research Institute of Epidemiology
h1n1pdm	EPI_ISL_19603496	A/California/LACPHL-INF00672/2024	Los Angeles County Public Health Laboratories, Lab Microbial Pathogen Submission Group	
h1n1pdm	EPI_ISL_19702756	A/Espirito Santo/13011/2024	LACEN/ES - Laboratório Central de Saúde Pública do Espírito Santo	Instituto Oswaldo Cruz FIOCRUZ - Laboratory of Respiratory Viruses and Measles (LVRS)
h1n1pdm	EPI_ISL_19704582	A/Laos/00820-2341/2024	Lao Oxford Mahosot Wellcome Trust Research Unit (LOMWRU)	MORU Tropical Health Network
h1n1pdm	EPI_ISL_19672765	A/Brazil/SP-LEIAL4036/2024	Instituto Adolfo Lutz - National Influenza Center	Instituto Adolfo Lutz
h1n1pdm	EPI_ISL_19674927	A/Hunan-Jishou/SWL12035/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19641439	A/Ghana/FS-24-6342/2024	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19608543	A/Netherlands/01895/2024	Erasmus Medical Center	Erasmus Medical Center
h1n1pdm	EPI_ISL_19676549	A/Darwin/1612/2024	Royal Darwin Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19676543	A/Tasmania/860/2024	Royal Hobart Hospital	WHO Collaborating Centre for Reference and Research on Influenza
h1n1pdm	EPI_ISL_19675023	A/Hainan-Dingan/SWL1954/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19675017	A/Henan-Weibin/SWL1515/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19675000	A/Gansu-Chengguan/SWL11408/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19674973	A/Yunnan-Hekouyaozuzizhi/SWL1122/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19674963	A/Hainan-Danzhou/SWL11392/2024	WHO Chinese National Influenza Center	WHO Chinese National Influenza Center
h1n1pdm	EPI_ISL_19674697	A/ABUDHABI/UAE/0014069/2024	Reference Laboratory for Infectious Disease (Surveillance Lab)	Sheikh Khalifa Medical City (SKMC)
h1n1pdm	EPI_ISL_19674695	A/ABUDHABI/UAE/0013978/2024	Reference Laboratory for Infectious Disease (Surveillance Lab)	Sheikh Khalifa Medical City (SKMC)
h1n1pdm	EPI_ISL_19642842	A/India/Hub-NIV24_3091/2024	ICMR-National Institute of Virology	ICMR-National Institute of Virology
h1n1pdm	EPI_ISL_19642827	A/India/Amr-NIV24_2367/2024	ICMR-National Institute of Virology	ICMR-National Institute of Virology
h1n1pdm	EPI_ISL_19642611	A/Seoul/4081/2024	Korea Disease Control and Prevention Agency (KDCA)	Korea Disease Control and Prevention Agency (KDCA)
h1n1pdm	EPI_ISL_19676854	A/Laos/F2357/2024	National Center for Laboratory and Epidemiology	National Institute of Infectious Diseases (NIID)
h1n1pdm	EPI_ISL_19644532	A/Ireland/00087411/2024	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory
h1n1pdm	EPI_ISL_19644488	A/Ireland/00080865/2024	UCD National Virus Reference Laboratory	UCD National Virus Reference Laboratory
h1n1pdm	EPI_ISL_19644089	A/Qatar/82042/2024	Supreme Health Council	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_19644070	A/Qatar/83703/2024	Supreme Health Council	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_19644067	A/Qatar/84651/2024	Supreme Health Council	Crick Worldwide Influenza Centre
h1n1pdm	EPI_ISL_19679164	A/France/ARA-RELAB-HCL025000515301/2024	CNR Virus des Infections Respiratoires - France SUD	CNR Virus des Infections Respiratoires, France SUD
h1n1pdm	EPI_ISL_19678782	A/Taiwan/NT1812a/2024	Taiwan Centers for Disease Control	
h1n1pdm	EPI_ISL_19678629	A/Pakistan/3764/2024	National Institute of Health	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19644977	A/Ghana/FS-24-7696/2024	NOGUCHI MEMORIAL INSTITUTE FOR MEDICAL RESEARCH	Noguchi Memorial Institute for Medical Research (NMIMR)
h1n1pdm	EPI_ISL_19614102	A/Peru/LIM-UPCH-4729/2024	Instituto de Medicine Tropical Alexander von Humboldt - UPCH	Universidad Peruana Cayetano Heredia
h1n1pdm	EPI_ISL_19614101	A/Peru/LIM-UPCH-4721/2024	Instituto de Medicine Tropical Alexander von Humboldt - UPCH	Universidad Peruana Cayetano Heredia
h1n1pdm	EPI_ISL_19647187	A/New Jersey/62/2024	New Jersey Department of Health & Senior Services	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19647160	A/Bahrain/3177/2024	Ministry of Health Bahrain	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19647145	A/La Serena/91169/2024	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19647131	A/La Serena/90885/2024	Instituto de Salud Publica de Chile	Centers for Disease Control and Prevention
h1n1pdm	EPI_ISL_19680962	A/England/5140163/2024	UK Health Security Agency - Colindale	UKHSA / Respiratory Virus Unit
h1n1pdm	EPI_ISL_19651307	A/Para/047372-IEC/2024	Evandro Chagas Institute	Evandro Chagas Institute
